Datetime,Pred_Norm_Close
2021-03-05 11:30:00,-1.102232
2021-03-05 12:00:00,-1.1629857
2021-03-05 12:30:00,-1.1834153
2021-03-05 13:00:00,-1.2013564
2021-03-05 13:30:00,-1.2027397
2021-03-05 14:00:00,-1.2157663
2021-03-05 14:30:00,-1.1767005
2021-03-05 15:00:00,-1.1458718
2021-03-08 09:00:00,-1.114202
2021-03-08 09:30:00,-1.0660995
2021-03-08 10:00:00,-0.9947869
2021-03-08 10:30:00,-0.8783261
2021-03-08 11:00:00,-0.7733348
2021-03-08 11:30:00,-0.67484987
2021-03-08 12:00:00,-0.65597725
2021-03-08 12:30:00,-0.662567
2021-03-08 13:00:00,-0.67366815
2021-03-08 13:30:00,-0.6723057
2021-03-08 14:00:00,-0.71507657
2021-03-08 14:30:00,-0.71470815
2021-03-08 15:00:00,-0.766752
2021-03-09 09:00:00,-0.8065964
2021-03-09 10:00:00,-0.90750736
2021-03-09 10:30:00,-0.873356
2021-03-09 11:00:00,-0.9022939
2021-03-09 11:30:00,-0.86395097
2021-03-09 12:00:00,-0.81414545
2021-03-09 12:30:00,-0.7800219
2021-03-09 13:00:00,-0.7667798
2021-03-09 13:30:00,-0.75837576
2021-03-09 14:00:00,-0.7081323
2021-03-09 14:30:00,-0.7572775
2021-03-09 15:00:00,-0.796538
2021-03-10 09:00:00,-0.79594713
2021-03-10 09:30:00,-0.8967329
2021-03-10 10:00:00,-0.80132043
2021-03-10 10:30:00,-0.7815581
2021-03-10 11:00:00,-0.69950587
2021-03-10 11:30:00,-0.64666957
2021-03-10 12:00:00,-0.61537516
2021-03-10 12:30:00,-0.6362706
2021-03-10 13:00:00,-0.59990174
2021-03-10 13:30:00,-0.55240405
2021-03-10 14:00:00,-0.5272754
2021-03-10 14:30:00,-0.4875283
2021-03-10 15:00:00,-0.42453626
2021-03-11 09:00:00,-0.3968843
2021-03-11 09:30:00,-0.5093273
2021-03-11 10:30:00,-0.55772865
2021-03-11 11:00:00,-0.5071168
2021-03-11 11:30:00,-0.5325235
2021-03-11 12:00:00,-0.521346
2021-03-11 12:30:00,-0.5220341
2021-03-11 13:00:00,-0.53072315
2021-03-11 13:30:00,-0.5076868
2021-03-11 14:00:00,-0.48937732
2021-03-11 14:30:00,-0.5212278
2021-03-11 15:00:00,-0.5940419
2021-03-11 15:30:00,-0.6720346
2021-03-12 09:00:00,-0.70936966
2021-03-12 09:30:00,-0.76160115
2021-03-12 10:30:00,-0.7281866
2021-03-12 11:00:00,-0.6640129
2021-03-12 11:30:00,-0.59464663
